data;
param :Aij: A :=
	"COST...."	"x1"	1
	"c1"	"x1"	-1
	"c2"	"x1"	1
	"COST...."	"x2"	1
	"c2"	"x2"	-1
	"c3"	"x2"	1
	"COST...."	"x3"	1
	"c3"	"x3"	-1
	"c4"	"x3"	1
	"COST...."	"x4"	1
	"c4"	"x4"	-1
	"c5"	"x4"	1
	"COST...."	"x5"	1
	"c5"	"x5"	-1
	"c6"	"x5"	1
	"COST...."	"x6"	1
	"c6"	"x6"	-1
	"c7"	"x6"	1
	"COST...."	"x7"	1
	"c7"	"x7"	-1
	"c8"	"x7"	1
	"COST...."	"x8"	1
	"c9"	"x8"	-1
	"c10"	"x8"	1
	"COST...."	"x9"	1
	"c10"	"x9"	-1
	"c11"	"x9"	1
	"COST...."	"x10"	1
	"c11"	"x10"	-1
	"c12"	"x10"	1
	"COST...."	"x11"	1
	"c12"	"x11"	-1
	"c13"	"x11"	1
	"COST...."	"x12"	1
	"c13"	"x12"	-1
	"c14"	"x12"	1
	"COST...."	"x13"	1
	"c14"	"x13"	-1
	"c15"	"x13"	1
	"COST...."	"x14"	1
	"c15"	"x14"	-1
	"c16"	"x14"	1
	"COST...."	"x15"	1
	"c17"	"x15"	-1
	"c18"	"x15"	1
	"COST...."	"x16"	1
	"c18"	"x16"	-1
	"c19"	"x16"	1
	"COST...."	"x17"	1
	"c19"	"x17"	-1
	"c20"	"x17"	1
	"COST...."	"x18"	1
	"c20"	"x18"	-1
	"c21"	"x18"	1
	"COST...."	"x19"	1
	"c21"	"x19"	-1
	"c22"	"x19"	1
	"COST...."	"x20"	1
	"c22"	"x20"	-1
	"c23"	"x20"	1
	"COST...."	"x21"	1
	"c23"	"x21"	-1
	"c24"	"x21"	1
	"COST...."	"x22"	1
	"c25"	"x22"	-1
	"c26"	"x22"	1
	"COST...."	"x23"	1
	"c26"	"x23"	-1
	"c27"	"x23"	1
	"COST...."	"x24"	1
	"c27"	"x24"	-1
	"c28"	"x24"	1
	"COST...."	"x25"	1
	"c28"	"x25"	-1
	"c29"	"x25"	1
	"COST...."	"x26"	1
	"c29"	"x26"	-1
	"c30"	"x26"	1
	"COST...."	"x27"	1
	"c30"	"x27"	-1
	"c31"	"x27"	1
	"COST...."	"x28"	1
	"c31"	"x28"	-1
	"c32"	"x28"	1
	"COST...."	"x29"	1
	"c33"	"x29"	-1
	"c34"	"x29"	1
	"COST...."	"x30"	1
	"c34"	"x30"	-1
	"c35"	"x30"	1
	"COST...."	"x31"	1
	"c35"	"x31"	-1
	"c36"	"x31"	1
	"COST...."	"x32"	1
	"c36"	"x32"	-1
	"c37"	"x32"	1
	"COST...."	"x33"	1
	"c37"	"x33"	-1
	"c38"	"x33"	1
	"COST...."	"x34"	1
	"c38"	"x34"	-1
	"c39"	"x34"	1
	"COST...."	"x35"	1
	"c39"	"x35"	-1
	"c40"	"x35"	1
	"COST...."	"x36"	1
	"c41"	"x36"	-1
	"c42"	"x36"	1
	"COST...."	"x37"	1
	"c42"	"x37"	-1
	"c43"	"x37"	1
	"COST...."	"x38"	1
	"c43"	"x38"	-1
	"c44"	"x38"	1
	"COST...."	"x39"	1
	"c44"	"x39"	-1
	"c45"	"x39"	1
	"COST...."	"x40"	1
	"c45"	"x40"	-1
	"c46"	"x40"	1
	"COST...."	"x41"	1
	"c46"	"x41"	-1
	"c47"	"x41"	1
	"COST...."	"x42"	1
	"c47"	"x42"	-1
	"c48"	"x42"	1
	"COST...."	"x43"	1
	"c49"	"x43"	-1
	"c50"	"x43"	1
	"COST...."	"x44"	1
	"c50"	"x44"	-1
	"c51"	"x44"	1
	"COST...."	"x45"	1
	"c51"	"x45"	-1
	"c52"	"x45"	1
	"COST...."	"x46"	1
	"c52"	"x46"	-1
	"c53"	"x46"	1
	"COST...."	"x47"	1
	"c53"	"x47"	-1
	"c54"	"x47"	1
	"COST...."	"x48"	1
	"c54"	"x48"	-1
	"c55"	"x48"	1
	"COST...."	"x49"	1
	"c55"	"x49"	-1
	"c56"	"x49"	1
	"COST...."	"x50"	1
	"c57"	"x50"	-1
	"c58"	"x50"	1
	"COST...."	"x51"	1
	"c58"	"x51"	-1
	"c59"	"x51"	1
	"COST...."	"x52"	1
	"c59"	"x52"	-1
	"c60"	"x52"	1
	"COST...."	"x53"	1
	"c60"	"x53"	-1
	"c61"	"x53"	1
	"COST...."	"x54"	1
	"c61"	"x54"	-1
	"c62"	"x54"	1
	"COST...."	"x55"	1
	"c62"	"x55"	-1
	"c63"	"x55"	1
	"COST...."	"x56"	1
	"c63"	"x56"	-1
	"c64"	"x56"	1
	"COST...."	"x57"	2
	"c1"	"x57"	1
	"c2"	"x57"	-1
	"COST...."	"x58"	2
	"c2"	"x58"	1
	"c3"	"x58"	-1
	"COST...."	"x59"	2
	"c3"	"x59"	1
	"c4"	"x59"	-1
	"COST...."	"x60"	2
	"c4"	"x60"	1
	"c5"	"x60"	-1
	"COST...."	"x61"	2
	"c5"	"x61"	1
	"c6"	"x61"	-1
	"COST...."	"x62"	2
	"c6"	"x62"	1
	"c7"	"x62"	-1
	"COST...."	"x63"	2
	"c7"	"x63"	1
	"c8"	"x63"	-1
	"COST...."	"x64"	2
	"c9"	"x64"	1
	"c10"	"x64"	-1
	"COST...."	"x65"	2
	"c10"	"x65"	1
	"c11"	"x65"	-1
	"COST...."	"x66"	2
	"c11"	"x66"	1
	"c12"	"x66"	-1
	"COST...."	"x67"	2
	"c12"	"x67"	1
	"c13"	"x67"	-1
	"COST...."	"x68"	2
	"c13"	"x68"	1
	"c14"	"x68"	-1
	"COST...."	"x69"	2
	"c14"	"x69"	1
	"c15"	"x69"	-1
	"COST...."	"x70"	2
	"c15"	"x70"	1
	"c16"	"x70"	-1
	"COST...."	"x71"	2
	"c17"	"x71"	1
	"c18"	"x71"	-1
